Categoria,Parte,Cantidad,PrecioUnitario_COP,Subtotal_COP,Fuente,Estado,Montaje
Movilidad,Motorreductor JGB37 12V 100RPM,6,73613,441678,ELECTRONICA I+D S.A.S. (Cotizacion S174842),Cotizado,Junta de rueda (Bogie) - motor de cada una de las 6 ruedas
Movilidad,Driver BTS7960 43A,3,29076,87228,ELECTRONICA I+D S.A.S. (Cotizacion S174842),Cotizado,Chasis interior - placa de electronica de potencia
Movilidad,"Servo MG995R 4.8-7.2V 13Kg/cm (direccion, 4 ruedas)",4,20700,82800,ELECTRONICA I+D S.A.S. (Cotizacion S174842),Cotizado,Junta de rueda (Bogie) - direccion de las 4 ruedas de esquina
Movilidad,"Controlador PCA9685 (16 ch PWM, sin ensamblar)",1,15126,15126,ELECTRONICA I+D S.A.S. (Cotizacion S174842),Cotizado,"Chasis interior - placa de electronica, junto al Arduino UNO Q"
Movilidad,Eje metalico [EJE-1005] 100x5 mm,3,2904,8712,ELECTRONICA I+D S.A.S. (Cotizacion S174842),Cotizado,Junta de rueda (Bogie) - eje servo-rodamiento-rueda en JuntaLlantaDireccion/JuntaLlanta
Movilidad,Rodamiento con brida MF105ZZ (ID5/OD10/H4 mm),5,3388,16940,ELECTRONICA I+D S.A.S. (Cotizacion S174842),Cotizado,Junta de rueda (Bogie) - soporte del eje
Movilidad,"Encoder optico 448 CPR (eje de 37 mm, para motorreductor)",2,32900,65800,ELECTRONICA I+D S.A.S. (Cotizacion S174842),Cotizado,Junta de rueda (Bogie) - acoplado al eje trasero del motorreductor
Chasis,"Perfil aluminio 2020V-N2 (por m, CNC)",13,24923,323995,ELECTRONICA I+D S.A.S. (Cotizacion S174842),Cotizado,Chasis - marco estructural
Chasis,Tornillo en T M5x12 para perfil 2020,20,756,15120,ELECTRONICA I+D S.A.S. (Cotizacion S174842),Cotizado,Chasis - union de perfiles y placas
Impresion 3D,Filamento PETG Blanco 1kg,1,70300,70300,ELECTRONICA I+D S.A.S. (Cotizacion S174842),Cotizado,Consumible - no se monta
Impresion 3D,Filamento PETG Gris 1kg,2,70300,140600,ELECTRONICA I+D S.A.S. (Cotizacion S174842),Cotizado,Consumible - no se monta
Impresion 3D,Filamento TPU 95A Negro 800g,1,90800,90800,ELECTRONICA I+D S.A.S. (Cotizacion S174842),Cotizado,Consumible - no se monta
Cerebro y control,"Arduino UNO Q (RAM 2GB, eMMC 16GB, Cortex-A53 + Cortex-M33)",1,189000,189000,"ELECTRONICA I+D S.A.S. (Cotizacion S174842, 10% desc.)",Cotizado,Chasis interior - placa de electronica (cerebro)
Cerebro y control,"Pantalla OLED 2.42"" SSD1309 Blanco",1,45546,45546,ELECTRONICA I+D S.A.S. (Cotizacion S174842),Cotizado,Chasis - panel frontal/superior visible
Cerebro y control,Conversor DC/DC reductor 300W 20A (alimentacion principal),1,22185,22185,ELECTRONICA I+D S.A.S. (Cotizacion S174842),Cotizado,Chasis interior - compartimento de energia
Cerebro y control,"Modulo conversor DC-DC LM2576HV (salida ajustable, 3A)",1,11900,11900,ELECTRONICA I+D S.A.S. (Cotizacion S174842),Cotizado,Chasis interior - compartimento de energia
Energia,Cable siliconado 10AWG Rojo (bateria),1,18824,18824,ELECTRONICA I+D S.A.S. (Cotizacion S174842),Cotizado,Chasis interior - linea principal de bateria
Electronica y cableado,Dispensador de cable siliconado 18AWG (5 colores),1,43697,43697,ELECTRONICA I+D S.A.S. (Cotizacion S174842),Cotizado,Chasis interior - junto a la placa de electronica
Electronica y cableado,"Cable Dupont M/M 10cm (paquete x10, colores)",3,1700,5100,ELECTRONICA I+D S.A.S. (Cotizacion S174842),Cotizado,Chasis interior - junto a la placa de electronica
Electronica y cableado,"Cable Dupont M/H 10cm (paquete x10, colores)",3,1700,5100,ELECTRONICA I+D S.A.S. (Cotizacion S174842),Cotizado,Chasis interior - junto a la placa de electronica
Electronica y cableado,Pelacable multifuncional AWG 22-10,1,12600,12600,ELECTRONICA I+D S.A.S. (Cotizacion S174842),Cotizado,Chasis interior - junto a la placa de electronica
Laboratorio,"Varilla trapezoidal roscada M8 paso 1mm, 1m (husillo dispensador/jeringa)",1,39100,39100,ELECTRONICA I+D S.A.S. (Cotizacion S174842),Cotizado,Modulo de laboratorio - husillo del dispensador de jeringa
Brazo de muestreo,Mini servo SG51R Tower Pro 5g (brazo),4,24200,96800,ELECTRONICA I+D S.A.S. (Cotizacion S174842),Cotizado,Brazo de muestreo (frontal del chasis)
Logistica,Envio Mensajero (Medellin),1,13950,13950,ELECTRONICA I+D S.A.S. (Cotizacion S174842),Cotizado,"N/A - logistica, no se monta"
